corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,36,306,0,0,0.007741929648834954,1.6675538077877399,0.6883252859115601,0.795070991321744,273
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,37,2514,1,1,0.6341805187626283,1.2422336525130566,0.7845645546913147,0.6884676405519584,136
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,38,1203,0,0,1.0205785075011897e-06,0.010205311108560563,0.8331617116928101,0.4952475708891214,495
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,39,837,0,0,8.452242915732134e-05,0.21377472607413556,0.8362348675727844,0.571273670439936,337
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,40,1506,1,1,0.999299487098203,0.00914470293306091,0.8791756629943848,0.5323653628920693,182
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,41,1972,1,1,0.307697521557487,3.9200444013798417,0.842771053314209,0.6370164303123024,383
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,42,718,0,1,0.003409606397940108,0.1511865988391254,0.8053731918334961,0.5186338747408554,189
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,43,1416,0,0,5.041970235091845e-05,1.9598052598222964,0.7080960869789124,0.6393915343896286,175
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,44,1918,1,1,0.23307490420022114,3.600120270062661,0.8181527256965637,0.6754324566226665,6
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,0,642,0,0,0.022884703601685652,3.553590232081431,0.813514769077301,0.753726312296713,14
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,1,270,0,0,0.0032576141126994186,2.6032666535856963,0.8068771362304688,0.6194860173251493,360
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,2,1380,1,1,0.4098562673771318,2.360323706303065,0.7524769902229309,0.6152093801730357,278
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,3,2437,1,1,0.2255509948730753,3.642770620844219,0.8536694049835205,0.5635346052479311,381
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,4,1525,0,0,0.0020118300147800704,3.5257192437428997,0.795181155204773,0.6973213823815416,422
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,5,938,0,1,0.15726176951694443,1.9240960837392307,0.8024209141731262,0.7143220199656175,482
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,6,1073,0,0,0.003441580371034055,3.3833438065944206,0.7960241436958313,0.6840538168427513,391
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,7,731,1,1,0.9997623680160902,0.003818384004575704,0.848362386226654,0.5701385601851712,440
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,8,1484,0,0,0.006139282549959131,3.36256777906676,0.8236815929412842,0.6372105182339991,377
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,9,648,1,1,0.6178510451896189,2.4659340138906023,0.846282422542572,0.6646575007740704,494
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,10,446,0,0,0.02178312921766807,3.3000102943218916,0.402803897857666,0.8342115045471835,418
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,11,1937,0,0,0.00023820952624863467,3.8050874214036736,0.7582612037658691,0.69855941803656,242
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,12,1937,0,0,0.01951049525316886,4.59010652522568,0.8151876330375671,0.646956757206304,242
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,13,2137,0,0,0.0014292436834736802,2.250794846465065,0.7077744007110596,0.8139690938963339,30
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,14,1262,0,1,0.18597956974128188,4.027395217271109,0.8563456535339355,0.46429429209365486,188
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,15,981,0,0,0.04544594199783411,4.668580172293452,0.7280508875846863,0.7370485571030033,61
ebg,gpt-4o,gpt-4o-2024-08-06,svm,105673,16,1866,0,0,0.030491570172407865,3.4717155974619045,0.8424516320228577,0.6627186778444168,75
