Corpus,Threat Model,LLM,Metric,Higher is Better,Slope,Slope Std,Slope HDI Lower,Slope HDI Upper,P(Improvement),In ROPE,Conclusion
EBG,logreg,llama-3.1,pinc,True,0.04057956016506148,0.0423691579144456,-0.03782401770540007,0.12757769710617536,0.83025,0.051,Inconclusive
EBG,svm,llama-3.1,binary_acc1,False,0.2612229367222294,0.21274126812602095,-0.1552763484810547,0.6638034342351165,0.892375,0.03525,Inconclusive
EBG,svm,llama-3.1,binary_acc5,False,-0.01909024253189728,0.17726009209988128,-0.3685042960155769,0.3309995429831781,0.457625,0.081875,Inconclusive
EBG,svm,llama-3.1,true_class_confidence,False,0.1524391942322499,0.11321391666556274,-0.06489994439724668,0.37737633096793133,0.08875,0.034625,Inconclusive
EBG,svm,llama-3.1,entropy,True,0.03173473824262495,0.10388717408780344,-0.17431701252778584,0.23317058632137633,0.61875,0.077375,Inconclusive
EBG,svm,llama-3.1,bertscore,True,-0.033557905082779234,0.0359755852523738,-0.10553007938929908,0.03669915049627393,0.174,0.0525,Inconclusive
EBG,svm,llama-3.1,pinc,True,0.04023369511078019,0.040962619144661136,-0.03947963962923827,0.11984316151305074,0.835625,0.054375,Inconclusive
EBG,roberta,llama-3.1,binary_acc1,False,0.25756759199847923,0.21849946888886396,-0.17793173047035135,0.6715046919460592,0.882,0.039125,Inconclusive
EBG,roberta,llama-3.1,binary_acc5,False,-0.016698732389969877,0.17826081344617556,-0.3620825926949385,0.33469607538618373,0.45375,0.078125,Inconclusive
EBG,roberta,llama-3.1,true_class_confidence,False,0.1504528422599339,0.11354041729874947,-0.07004479517855174,0.3709348090848814,0.09475,0.0335,Inconclusive
EBG,roberta,llama-3.1,entropy,True,0.03415674216360505,0.10559977288686163,-0.17938990263584692,0.2299179171118673,0.63075,0.067875,Inconclusive
EBG,roberta,llama-3.1,bertscore,True,-0.03398077784418946,0.036901090002048116,-0.10557899356220504,0.03890677677909715,0.172875,0.0525,Inconclusive
EBG,roberta,llama-3.1,pinc,True,0.040189253356046145,0.04197606001536084,-0.045390398478710986,0.1187777109846774,0.833625,0.052,Inconclusive
EBG,logreg,ministral,binary_acc1,False,0.1539819737708256,0.2116387827026539,-0.2710560879830027,0.5566305347233388,0.76475,0.06475,Inconclusive
EBG,logreg,ministral,binary_acc5,False,0.061904870818289694,0.18857279107956887,-0.3199264768998593,0.4215062983179727,0.630125,0.079375,Inconclusive
EBG,logreg,ministral,true_class_confidence,False,0.11075553488920437,0.1185717838925982,-0.1261812528153407,0.3412698358666619,0.170125,0.051,Inconclusive
EBG,logreg,ministral,entropy,True,0.049246822106902385,0.10739993302647813,-0.15497398708178017,0.2625547269566395,0.676125,0.071875,Inconclusive
EBG,logreg,ministral,bertscore,True,-0.01390667381074115,0.04149624810021137,-0.09582938960037335,0.06524843918880063,0.369625,0.077625,Inconclusive
EBG,logreg,ministral,pinc,True,0.02997575682233338,0.04987444008722907,-0.0707633269833817,0.12813321317907234,0.728,0.06625,Inconclusive
EBG,svm,ministral,binary_acc1,False,0.15368265652797067,0.20885089330009343,-0.24216018606992068,0.5730765617867599,0.770875,0.05575,Inconclusive
EBG,svm,ministral,binary_acc5,False,0.06252857052210008,0.18140876681195453,-0.288853386595581,0.4273939908381337,0.641,0.0775,Inconclusive
EBG,svm,ministral,true_class_confidence,False,0.1088878039279814,0.11749901726959457,-0.11827842947929137,0.3350668086368728,0.17925,0.054,Inconclusive
EBG,svm,ministral,entropy,True,0.04888820953244769,0.10729443596681108,-0.1654726254030242,0.2559135510772485,0.684,0.07,Inconclusive
EBG,svm,ministral,bertscore,True,-0.013472792494324731,0.041733768425120055,-0.09616337235840708,0.06802854665956057,0.376375,0.0785,Inconclusive
EBG,svm,ministral,pinc,True,0.02979153756368744,0.05050497300214505,-0.07242958049506004,0.126243118897038,0.721625,0.0675,Inconclusive
EBG,roberta,ministral,binary_acc1,False,0.1531851718474796,0.21159811829934383,-0.26004128684904215,0.551613754424612,0.758125,0.064875,Inconclusive
EBG,roberta,ministral,binary_acc5,False,0.0622327136257607,0.18453839901935062,-0.29460243842682055,0.42178931014423604,0.626,0.081,Inconclusive
EBG,roberta,ministral,true_class_confidence,False,0.11181117952943685,0.11619942659101326,-0.11333802848002549,0.3426515822189399,0.168375,0.051125,Inconclusive
EBG,roberta,ministral,entropy,True,0.04681877873049242,0.10663023060146301,-0.1643664327896668,0.2536639608957047,0.676875,0.072,Inconclusive
EBG,roberta,ministral,bertscore,True,-0.014321158965353234,0.041582274566619636,-0.09802949671443655,0.06431210831028569,0.363875,0.06975,Inconclusive
EBG,roberta,ministral,pinc,True,0.030626724137271164,0.05134224080877263,-0.06877499495618956,0.1322032033531864,0.725125,0.061,Inconclusive
EBG,logreg,claude-3.5,binary_acc1,False,-0.07741578381871071,0.37358287716432986,-0.8278895171694035,0.6548866272642757,0.416375,0.082,Inconclusive
EBG,logreg,claude-3.5,binary_acc5,False,0.136810557791181,0.19761892702266118,-0.2420597799625335,0.5295866001626794,0.7585,0.05975,Inconclusive
EBG,logreg,claude-3.5,true_class_confidence,False,0.026990543970312097,0.10297623578141601,-0.17124356487170184,0.22894781733370656,0.395375,0.075,Inconclusive
EBG,logreg,claude-3.5,entropy,True,-0.08400433778772512,0.10070451787597405,-0.2761637813830365,0.11225384061144812,0.20075,0.0545,Inconclusive
EBG,logreg,claude-3.5,bertscore,True,0.0432778899636764,0.022131773960031065,0.0011273391772698982,0.08756870305170172,0.9745,0.0105,Significant Improvement
EBG,logreg,claude-3.5,pinc,True,-0.050963979788964456,0.03196157223280539,-0.11249807780502438,0.010848476339285125,0.05425,0.02275,Inconclusive
EBG,svm,claude-3.5,binary_acc1,False,-0.08917651338273049,0.37806992535776973,-0.8732614406775463,0.61946030999838,0.412625,0.0805,Inconclusive
EBG,svm,claude-3.5,binary_acc5,False,0.1409981436923584,0.20650755859426287,-0.25712878008286233,0.5465904743956392,0.751125,0.061875,Inconclusive
EBG,svm,claude-3.5,true_class_confidence,False,0.027615797861797808,0.10506721868973597,-0.17671294561535045,0.23561225155543894,0.394125,0.074,Inconclusive
EBG,svm,claude-3.5,entropy,True,-0.08218292769111496,0.1000827160531554,-0.2723374846280507,0.1135638766995195,0.2095,0.05675,Inconclusive
EBG,svm,claude-3.5,bertscore,True,0.04342113021581464,0.02247535276722618,-0.00036477232264892903,0.08732776923436125,0.972875,0.013625,Significant Improvement
EBG,svm,claude-3.5,pinc,True,-0.05177359095527317,0.03273302594973705,-0.11374070397555447,0.014299653538348665,0.054125,0.02325,Inconclusive
EBG,roberta,claude-3.5,binary_acc1,False,-0.08264873355855878,0.3834150903072427,-0.8438997249037138,0.6722798292432504,0.4155,0.083125,Inconclusive
EBG,roberta,claude-3.5,binary_acc5,False,0.14075061238879824,0.2019910196850166,-0.25021017334624496,0.542433508195284,0.757,0.07025,Inconclusive
EBG,roberta,claude-3.5,true_class_confidence,False,0.026701994597029717,0.1044035214759555,-0.18017486122894474,0.23205920958917367,0.396625,0.079,Inconclusive
EBG,roberta,claude-3.5,entropy,True,-0.08372958560887551,0.09895207247378658,-0.2755172558692833,0.10573706194043819,0.206125,0.05575,Inconclusive
EBG,roberta,claude-3.5,bertscore,True,0.04375371522606224,0.022516482827907736,-0.00013021681120626086,0.08816136029548424,0.9735,0.012375,Significant Improvement
EBG,roberta,claude-3.5,pinc,True,-0.05065817619335189,0.032464369284523564,-0.11391484063740889,0.01470778644854101,0.058875,0.02625,Inconclusive
EBG,logreg,gpt-4o,binary_acc1,False,0.354302683104582,0.2166333890199818,-0.08737458132215231,0.7697892169038304,0.952,0.02,Significant Improvement
EBG,logreg,gpt-4o,binary_acc5,False,-0.01755699440336637,0.17298463744095582,-0.3457430317491805,0.32756648603032906,0.460375,0.07625,Inconclusive
EBG,logreg,gpt-4o,true_class_confidence,False,0.12568633261543893,0.11797815670603176,-0.09080317941620804,0.37093590228962675,0.14875,0.0485,Inconclusive
EBG,logreg,gpt-4o,entropy,True,-0.01730760615801384,0.10351072412977967,-0.23027397031052135,0.17603341605806588,0.431375,0.075,Inconclusive
EBG,logreg,gpt-4o,bertscore,True,0.0027911188917872707,0.03763113132084895,-0.0712027774616828,0.0739928433601543,0.528375,0.082,Inconclusive
EBG,logreg,gpt-4o,pinc,True,-0.025985730067858114,0.04049616920487424,-0.10474373088474775,0.052671451660905845,0.2615,0.0625,Inconclusive
EBG,svm,gpt-4o,binary_acc1,False,0.35154150324683253,0.21911555836832056,-0.06586653361657166,0.7875185369580568,0.949125,0.02275,Inconclusive
EBG,svm,gpt-4o,binary_acc5,False,-0.01189021895016676,0.18015215152835223,-0.3722674335755391,0.3291743568508647,0.473125,0.08625,Inconclusive
EBG,svm,gpt-4o,true_class_confidence,False,0.1255269829114511,0.12012680387912676,-0.11296890792368258,0.35860070117511106,0.15025,0.045875,Inconclusive
EBG,svm,gpt-4o,entropy,True,-0.019695863615995277,0.104935118512636,-0.2214188042265807,0.18659366655083048,0.427875,0.078875,Inconclusive
EBG,svm,gpt-4o,bertscore,True,0.002689469956603828,0.037893536052917204,-0.07555731642613023,0.07415472925777399,0.52825,0.079,Inconclusive
EBG,svm,gpt-4o,pinc,True,-0.024155657114861208,0.04153847822544327,-0.1009303702988758,0.05921210112006463,0.283875,0.06325,Inconclusive
EBG,roberta,gpt-4o,binary_acc1,False,0.36113066583545983,0.21332195870516435,-0.05511510521166127,0.7727876352038794,0.959625,0.01975,Significant Improvement
EBG,roberta,gpt-4o,binary_acc5,False,-0.016932339985931563,0.17627883497173594,-0.37243017633040865,0.32160390114113074,0.462625,0.081375,Inconclusive
EBG,roberta,gpt-4o,true_class_confidence,False,0.1313015075045008,0.1176764834952945,-0.09269550093959551,0.37109561884437314,0.131,0.044,Inconclusive
EBG,roberta,gpt-4o,entropy,True,-0.01868194525299302,0.10601250546798154,-0.22711290289039837,0.18764259625741525,0.428875,0.083375,Inconclusive
EBG,roberta,gpt-4o,bertscore,True,0.0026970856920729876,0.03820852450055791,-0.07150842613099659,0.07776592113809146,0.52925,0.08075,Inconclusive
EBG,roberta,gpt-4o,pinc,True,-0.024592558187498493,0.04052475745532219,-0.10539216471061212,0.05273935059654011,0.274125,0.0665,Inconclusive
RJ,logreg,gemma-2,binary_acc1,False,0.030909243062310417,0.4023880450942119,-0.7723473288249394,0.8476991522743174,0.532625,0.088875,Inconclusive
RJ,logreg,gemma-2,binary_acc5,False,0.5835119001050068,0.2856269946815744,0.018787568832479618,1.1336908006618367,0.9855,0.009,Significant Improvement
RJ,logreg,gemma-2,true_class_confidence,False,0.0930680083986008,0.1491840209460963,-0.20945618284147638,0.36895642937075046,0.263875,0.063,Inconclusive
RJ,logreg,gemma-2,entropy,True,-0.01666894066414258,0.13966447538390145,-0.2964347359935444,0.25473853686899517,0.454125,0.07525,Inconclusive
RJ,logreg,gemma-2,bertscore,True,0.07948362147344175,0.050351179763109044,-0.018871844628015583,0.17505952886011533,0.94075,0.025,Inconclusive
RJ,logreg,gemma-2,pinc,True,-0.08313777701359919,0.05456091779714194,-0.1927871170664482,0.019614238426566413,0.0645,0.024625,Inconclusive
RJ,svm,gemma-2,binary_acc1,False,0.04226514267692951,0.4146407245336063,-0.76583021328761,0.8928026572259896,0.538875,0.086375,Inconclusive
