Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% CI Lower,95% CI Upper,P(Improvement),In ROPE,Conclusion
EBG,svm,Llama-3.1,accuracy@1,False,Effectiveness,0.0044444444444444444,0.13333333333333333,-0.14763778554388335,0.022473010146931663,-0.18558380356534307,-0.10549397361718776,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Ministral,accuracy@1,False,Effectiveness,0.04,0.2088888888888889,-0.18156286587485904,0.019921474554662692,-0.21265208581616826,-0.1444690193308541,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Claude-3.5,accuracy@1,False,Effectiveness,0.06222222222222222,0.044444444444444446,0.01771743361477993,0.011916058781014337,-0.0054494118473952,0.038923616873635276,0.93075,0.264875,Inconclusive
EBG,svm,GPT-4o,accuracy@1,False,Effectiveness,0.3288888888888889,0.30666666666666664,0.029187307814909892,0.027346324270890836,-0.021315017776361918,0.07942780567406077,0.845875,0.17725,Inconclusive
EBG,svm,Gemma-2,accuracy@1,False,Effectiveness,0.017777777777777778,0.035555555555555556,-0.016310553983592314,0.002548784955217083,-0.020690692621337315,-0.011621137001659352,0.0,0.01625,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,accuracy@5,False,Effectiveness,0.08444444444444446,0.46222222222222226,-0.3969452625625223,0.03850954840642619,-0.45166543206560766,-0.3255662432985704,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Ministral,accuracy@5,False,Effectiveness,0.11111111111111112,0.4622222222222222,-0.36439009994080185,0.025795166974802858,-0.396033944420217,-0.3172002397852769,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Claude-3.5,accuracy@5,False,Effectiveness,0.27111111111111114,0.16,0.12163456187312557,0.01604043101794594,0.09187533783677611,0.1473470821018508,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,GPT-4o,accuracy@5,False,Effectiveness,0.6711111111111111,0.6355555555555555,0.03538661075445842,0.01504354079912948,0.007039845690470083,0.06285567350537573,0.993375,0.047125,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,accuracy@5,False,Effectiveness,0.10222222222222221,0.17333333333333334,-0.09629016420079674,0.020404351363693226,-0.13343332068210573,-0.058776206939102196,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,true_class_confidence,False,Effectiveness,0.01852539009979077,0.07299979312795904,-0.055700902295350324,0.0036772746310312385,-0.06071864828123888,-0.04908322223874624,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Ministral,true_class_confidence,False,Effectiveness,0.02571043635677911,0.10301810942626573,-0.07869616283844316,0.005333983892602135,-0.08599359050036244,-0.06948784842423987,0.0,0.0,Significant Increase (Enhanced > Baseline)
