Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% HDI Lower,95% HDI Upper,Conclusion
EBG,logreg,Ministral,true_class_confidence,False,Effectiveness,0.013739137880736699,0.15755178633745376,0.14739219304173076,0.008767631201219105,0.13223540011056092,0.15868624969879028,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,entropy,True,Effectiveness,2.7913709422852744,0.762212444388125,-1.9528702179170447,0.10231437377060452,-2.13918195550843,-1.7555131524531913,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Claude-3.5,entropy,True,Effectiveness,2.0679763254272023,1.306432156757504,-0.7252850188326126,0.11834710261920156,-0.9405580751822123,-0.49411119085430394,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Llama-3.1,entropy,True,Effectiveness,3.027205027500157,1.913040092719187,-1.029991991787421,0.13637639701745982,-1.2863269911279864,-0.7705543374759541,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Ministral,entropy,True,Effectiveness,2.2590633876923207,1.7563146347874774,-0.4576756434350526,0.1332792203462187,-0.7092617940195944,-0.2100841358203101,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,pinc,True,Quality,0.943943135756397,0.836292820702162,-0.1037981496082186,0.0069084262438648195,-0.11644055258906344,-0.09056871391160537,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Claude-3.5,pinc,True,Quality,0.8625578408481298,0.8746107305487147,0.03349588964692336,0.0061605852020411725,0.02246783583642996,0.04551095307763184,Significant Increase (Enhanced > Baseline)
EBG,logreg,GPT-4o,pinc,True,Quality,0.6788876577248851,0.6897410385182479,0.01567365198690448,0.0056986323743067405,0.0052736965041230155,0.0265453930018667,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,pinc,True,Quality,0.9424447891343466,0.7492917523135075,-0.19818130703514733,0.006200657174985496,-0.2091979678639743,-0.1857930369623646,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Ministral,pinc,True,Quality,0.9390689847836355,0.6890257539319641,-0.2546818716556721,0.008391754883006487,-0.27052608473318335,-0.23938353665091566,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,bertscore,True,Quality,0.5017992471324073,0.6219222018453809,0.10886675385771619,0.006962527512603681,0.0956066099588222,0.1214851629879749,Significant Increase (Enhanced > Baseline)
EBG,logreg,Claude-3.5,bertscore,True,Quality,0.6507168981764052,0.5894774964120653,-0.0636954655894629,0.003936911847352457,-0.07098822532113364,-0.05616613226129896,Significant Decrease (Enhanced < Baseline)
EBG,logreg,GPT-4o,bertscore,True,Quality,0.803244715001848,0.7817501786020067,-0.02180296204436474,0.003231785800462148,-0.027684218332659563,-0.015491721566206096,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Llama-3.1,bertscore,True,Quality,0.498759860197703,0.6998177454206679,0.19692618715318483,0.0053912377307360655,0.187176352914363,0.20717131195812633,Significant Increase (Enhanced > Baseline)
EBG,logreg,Ministral,bertscore,True,Quality,0.49002011855443317,0.7153878145747714,0.22341065344807315,0.006740971482454914,0.2109396185742099,0.2364546655199008,Significant Increase (Enhanced > Baseline)
EBG,svm,Claude-3.5,accuracy@1,False,Effectiveness,0.06222222222222222,0.04,-0.01841391196714916,0.0087305369661766,-0.03476454849032688,-0.002378225531312065,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,accuracy@1,False,Effectiveness,0.0044444444444444444,0.16888888888888892,0.17311153456758632,0.014932391947682066,0.14625403187157707,0.19517331139742972,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,accuracy@1,False,Effectiveness,0.04,0.18222222222222223,0.15669339275813698,0.020656083689058576,0.11919840033650589,0.18949159859520137,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,accuracy@5,False,Effectiveness,0.10222222222222221,0.20444444444444443,0.1179250702809263,0.016653935701672624,0.0860019594883327,0.14514528538185148,Significant Decrease (Enhanced < Baseline)
EBG,svm,Claude-3.5,accuracy@5,False,Effectiveness,0.271111111111111,0.17333333333333334,-0.11141294340319693,0.012469917071666602,-0.130300722063777,-0.08862067639205135,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,accuracy@5,False,Effectiveness,0.08444444444444445,0.5288888888888889,0.45507320049519817,0.03320264621155871,0.3926080506626744,0.5006933142838822,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,accuracy@5,False,Effectiveness,0.11111111111111112,0.4533333333333333,0.35196669020868615,0.027765186818213064,0.30104867732020113,0.39049677506493136,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,true_class_confidence,False,Effectiveness,0.020426144402644376,0.038029975128957456,0.01869339849221174,0.0018767513682592394,0.01517140772465667,0.021527341525236672,Significant Decrease (Enhanced < Baseline)
EBG,svm,Claude-3.5,true_class_confidence,False,Effectiveness,0.05310232236203274,0.03721979230674426,-0.017245196828511226,0.0021940472141878074,-0.020761117471997825,-0.01317518563189933,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,true_class_confidence,False,Effectiveness,0.018525390099790772,0.08352847138501693,0.06702888107398224,0.004903799385159491,0.05772881771318128,0.07378387400288228,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,true_class_confidence,False,Effectiveness,0.025710436356779102,0.10533512065753217,0.08138149578096135,0.005191482764356271,0.07196244528665663,0.08813591359742667,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,entropy,True,Effectiveness,4.3789517529097175,2.0308888889127132,-2.2922635834567098,0.10219084153259889,-2.483590060626007,-2.1001468840444315,Significant Decrease (Enhanced < Baseline)
EBG,svm,GPT-4o,entropy,True,Effectiveness,4.452574738914002,4.370876626159093,-0.19842463492361445,0.05550715704959043,-0.30393935225352625,-0.0960645142162169,Significant Decrease (Enhanced < Baseline)
EBG,svm,Llama-3.1,entropy,True,Effectiveness,4.448142880508531,3.8705764841228536,-0.7129343566395049,0.11025145740472386,-0.9264964280453835,-0.5105239069203901,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,entropy,True,Effectiveness,4.142463866133889,3.4756794922924685,-0.7176772808915977,0.11846629103956346,-0.9400120793064828,-0.4940837269848913,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,pinc,True,Quality,0.943943135756397,0.836292820702162,-0.1037981496082186,0.0069084262438648195,-0.11644055258906344,-0.09056871391160537,Significant Decrease (Enhanced < Baseline)
EBG,svm,Claude-3.5,pinc,True,Quality,0.8625578408481298,0.8746107305487147,0.03349588964692336,0.0061605852020411725,0.02246783583642996,0.04551095307763184,Significant Increase (Enhanced > Baseline)
EBG,svm,GPT-4o,pinc,True,Quality,0.6788876577248851,0.6897410385182479,0.01567365198690448,0.0056986323743067405,0.0052736965041230155,0.0265453930018667,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,pinc,True,Quality,0.9424447891343466,0.7492917523135075,-0.19818130703514733,0.006200657174985496,-0.2091979678639743,-0.1857930369623646,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,pinc,True,Quality,0.9390689847836355,0.6890257539319641,-0.2546818716556721,0.008391754883006487,-0.27052608473318335,-0.23938353665091566,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,bertscore,True,Quality,0.5017992471324073,0.6219222018453809,0.10886675385771619,0.006962527512603681,0.0956066099588222,0.1214851629879749,Significant Increase (Enhanced > Baseline)
EBG,svm,Claude-3.5,bertscore,True,Quality,0.6507168981764052,0.5894774964120653,-0.0636954655894629,0.003936911847352457,-0.07098822532113364,-0.05616613226129896,Significant Decrease (Enhanced < Baseline)
EBG,svm,GPT-4o,bertscore,True,Quality,0.803244715001848,0.7817501786020067,-0.02180296204436474,0.003231785800462148,-0.027684218332659563,-0.015491721566206096,Significant Decrease (Enhanced < Baseline)
EBG,svm,Llama-3.1,bertscore,True,Quality,0.498759860197703,0.6998177454206679,0.19692618715318483,0.0053912377307360655,0.187176352914363,0.20717131195812633,Significant Increase (Enhanced > Baseline)
EBG,svm,Ministral,bertscore,True,Quality,0.49002011855443317,0.7153878145747714,0.22341065344807315,0.006740971482454914,0.2109396185742099,0.2364546655199008,Significant Increase (Enhanced > Baseline)
EBG,roberta,Gemma-2,accuracy@1,False,Effectiveness,0.0,0.36444444444444446,0.3730485371198371,0.028805327631243053,0.3194716205684575,0.4122809177070922,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Claude-3.5,accuracy@1,False,Effectiveness,0.4488888888888889,0.31555555555555553,-0.1439427812161552,0.016625610550193803,-0.17045143842190016,-0.1125876868102146,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,accuracy@1,False,Effectiveness,0.0,0.5333333333333333,0.5359038809123083,0.02824464672660141,0.48857905155037235,0.571210115844041,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Ministral,accuracy@1,False,Effectiveness,0.0,0.5111111111111111,0.5068352291163858,0.018658915542285742,0.47679680225635446,0.5294941701514347,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,accuracy@5,False,Effectiveness,0.06222222222222222,0.6622222222222222,0.6119583509146158,0.04558919110128133,0.5295396274334098,0.6751166209783577,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Claude-3.5,accuracy@5,False,Effectiveness,0.671111111111111,0.5288888888888889,-0.16473362958134277,0.02464163470641871,-0.20758919031627046,-0.12003629819360404,Significant Increase (Enhanced > Baseline)
EBG,roberta,GPT-4o,accuracy@5,False,Effectiveness,0.76,0.7422222222222221,-0.01629479377726352,0.002572844545988792,-0.02058735149055649,-0.0114402173245476,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,accuracy@5,False,Effectiveness,0.06222222222222222,0.7555555555555555,0.6833409407659551,0.021550980507903588,0.6484858452103318,0.7076455279906564,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Ministral,accuracy@5,False,Effectiveness,0.10666666666666666,0.72,0.6178980817574773,0.03217890903369375,0.5628481647083409,0.659629090227609,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,true_class_confidence,False,Effectiveness,0.0036694299429655074,0.2960264146327972,0.2958881743730799,0.01779299890263731,0.26434096545502006,0.31970101590091865,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Claude-3.5,true_class_confidence,False,Effectiveness,0.41976326107978823,0.2673199623823166,-0.16328108030418265,0.01732023252946662,-0.1895995011994239,-0.13075867250348386,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,true_class_confidence,False,Effectiveness,0.003779963729903102,0.4925815582275391,0.4878241602933814,0.021985582232186444,0.4491512170269825,0.5146900824248966,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Ministral,true_class_confidence,False,Effectiveness,0.0052769224159419535,0.47491554021835325,0.4642961978068257,0.014772933492360677,0.44072114609745805,0.48111275140590454,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,entropy,True,Effectiveness,1.5505301441619832,2.288460109937317,0.6855102356835039,0.1343025410394841,0.43325710314259164,0.9332908999796284,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,entropy,True,Effectiveness,1.5510972237866647,2.317667633124217,0.703488902492022,0.1103638815067647,0.4976605557589102,0.9121470012875764,Significant Increase (Enhanced > Baseline)
EBG,roberta,GPT-4o,entropy,True,Effectiveness,1.5616027818066354,1.4708603062240284,-0.17073411601381883,0.06024768426197566,-0.2821169593585266,-0.05752253577383498,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,pinc,True,Quality,0.943943135756397,0.836292820702162,-0.1037981496082186,0.0069084262438648195,-0.11644055258906344,-0.09056871391160537,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Claude-3.5,pinc,True,Quality,0.8625578408481298,0.8746107305487147,0.03349588964692336,0.0061605852020411725,0.02246783583642996,0.04551095307763184,Significant Increase (Enhanced > Baseline)
EBG,roberta,GPT-4o,pinc,True,Quality,0.6788876577248851,0.6897410385182479,0.01567365198690448,0.0056986323743067405,0.0052736965041230155,0.0265453930018667,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,pinc,True,Quality,0.9424447891343466,0.7492917523135075,-0.19818130703514733,0.006200657174985496,-0.2091979678639743,-0.1857930369623646,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Ministral,pinc,True,Quality,0.9390689847836355,0.6890257539319641,-0.2546818716556721,0.008391754883006487,-0.27052608473318335,-0.23938353665091566,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,bertscore,True,Quality,0.5017992471324073,0.6219222018453809,0.10886675385771619,0.006962527512603681,0.0956066099588222,0.1214851629879749,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,bertscore,True,Quality,0.6507168981764052,0.5894774964120653,-0.0636954655894629,0.003936911847352457,-0.07098822532113364,-0.05616613226129896,Significant Decrease (Enhanced < Baseline)
EBG,roberta,GPT-4o,bertscore,True,Quality,0.803244715001848,0.7817501786020067,-0.02180296204436474,0.003231785800462148,-0.027684218332659563,-0.015491721566206096,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Llama-3.1,bertscore,True,Quality,0.498759860197703,0.6998177454206679,0.19692618715318483,0.0053912377307360655,0.187176352914363,0.20717131195812633,Significant Increase (Enhanced > Baseline)
EBG,roberta,Ministral,bertscore,True,Quality,0.49002011855443317,0.7153878145747714,0.22341065344807315,0.006740971482454914,0.2109396185742099,0.2364546655199008,Significant Increase (Enhanced > Baseline)
